B_GSM886836	B_GSM886859	B_GSM886901	B_GSM886912	B_GSM887015	B_GSM887088	B_GSM887110	B_GSM887112	B_GSM887118	B_GSM887119	B_GSM887120	B_GSM887124	B_GSM887125	B_GSM887126	B_GSM887314	B_GSM887318	B_GSM887480	B_GSM887527	B_GSM887574	B_GSM887577	B_GSM887596	B_GSM887666	B_GSM887682	B_GSM887689	B_GSM887722	O_GSM886945	O_GSM886996	O_GSM887247	O_GSM887248	O_GSM887249	O_GSM887250	O_GSM887251	O_GSM887252	O_GSM887253	O_GSM887254	O_GSM887255	O_GSM887256	O_GSM887475	O_GSM887476	O_GSM887691	O_GSM887692	O_GSM887693	O_GSM887694	O_GSM887695	O_GSM887697	O_GSM887698	O_GSM887700	O_GSM887701	O_GSM887702	O_GSM887713
100127983_at	8.6811	4.4643	9.6642	8.107	9.1816	9.4233	6.5559	7.6869	7.356	7.6438	6.9871	7.9345	8.7478	8.4149	8.877	9.3303	8.2338	7.9938	9.6584	8.9173	9.6739	8.296	8.1868	10.129	9.4895	4.0345	5.827	4.2361	4.3579	4.9875	7.9147	4.3308	6.1384	7.2062	4.5305	7.4996	4.3571	4.4602	4.1246	5.2416	6.6152	4.3987	4.7537	7.2118	4.2008	5.1735	5.1272	7.2911	4.5511	4.6404
100131187_at	3.7783	3.4556	3.6921	3.5352	5.5307	3.7323	3.7562	3.7003	3.5714	3.9022	6.6351	7.2504	4.0486	6.5388	4.0496	3.8711	4.2082	6.106	3.959	10.181	9.1427	3.6183	7.9597	4.3111	9.5967	11.14	10.742	10.476	11.939	8.0503	10.201	11.035	8.8734	9.8016	11.039	9.9469	8.3683	11.043	9.4187	8.3663	9.1442	10.695	10.333	10.018	9.3082	9.9646	11.414	8.9444	10.532	11.403
10019_at	10.289	11.516	11.649	8.9909	10.312	8.5506	9.2396	9.879	9.5251	10.783	9.7585	11.079	10.313	9.3722	9.1219	10.872	9.2551	11.663	8.7281	11.522	10.355	10.328	9.9234	10.641	7.933	8.5015	7.9624	7.1879	8.0356	8.3719	7.9721	6.8617	6.4711	6.6638	8.4581	7.472	7.0866	7.8163	8.5309	7.8627	7.5465	7.2081	8.2973	9.0369	7.1014	8.5608	7.3881	7.8424	7.3054	6.0771
1001_at	5.7313	6.1492	5.6881	5.2519	5.6411	6.1975	6.1667	5.6716	5.8244	5.7812	5.7595	5.8204	6.3147	5.82	5.6364	6.1779	5.6899	6.6261	6.3853	6.8299	7.0645	6.7603	6.0051	6.5627	5.5865	12.917	12.436	11.199	12.691	11.339	12.382	12.227	9.8014	11.319	11.94	9.6176	5.9742	6.0019	8.3498	11.521	11.635	9.3596	11.5	10.006	9.8371	12.379	10.313	9.1221	10.294	10.108
10045_at	3.9491	4.279	5.4	3.7774	3.9358	3.8043	3.5664	3.9169	3.7214	3.4303	3.168	3.8959	4.2009	3.5631	3.9476	4.0359	4.0542	4.1885	3.9381	3.8926	4.3126	3.9958	3.6685	4.0234	3.7635	6.3262	7.7201	6.7476	8.5537	7.454	6.4336	8.0526	7.5627	5.9503	6.3766	4.8569	5.1458	7.0547	7.0069	7.2747	6.1866	6.8134	7.6611	6.9637	7.8491	6.8264	5.396	4.7269	7.254	5.7778
100507239_at	6.4042	6.4626	6.4908	6.5411	7.2557	5.7247	6.5096	5.5053	5.7334	6.5085	5.9589	5.9137	6.3513	6.1801	8.3296	6.0774	6.5869	5.8949	6.3068	6.4314	7.3318	6.3967	5.7933	6.6089	6.5139	8.1811	8.2869	8.2143	7.3891	8.562	8.2574	8.0753	8.0607	9.1377	8.7596	7.9342	9.0219	7.5534	8.0782	8.6273	8.6696	7.2579	8.4196	7.9337	7.3278	10.542	8.9244	7.7047	9.1201	9.1195
10053_at	5.1573	5.2948	4.82	5.9253	5.2249	8.3221	5.4882	5.2688	5.1976	5.5335	5.0826	5.1212	5.421	5.2745	5.736	5.9674	4.9957	5.1665	6.1138	5.5206	5.0766	6.9152	5.4799	4.9816	9.8804	8.6706	8.8357	9.6976	10.166	8.7951	9.6586	10.269	8.7687	8.4073	8.8466	7.869	5.2363	9.4343	9.112	9.2621	8.8146	8.8485	8.8554	9.3528	8.9929	9.1875	8.7772	8.0356	9.6791	9.2005
100628315_at	3.8087	6.7034	5.2174	8.2532	9.0142	4.1721	6.9963	7.6601	8.4753	6.5185	8.6077	8.1486	6.6142	6.2362	5.4596	6.9136	7.8629	7.1599	7.672	5.7791	6.0613	7.5863	7.153	6.2781	5.8974	3.5437	3.4642	3.3425	3.5877	3.538	3.544	3.4601	3.2051	3.5712	3.495	3.6325	3.5978	3.7147	3.5525	3.5641	3.4987	3.4313	3.4765	3.3536	3.4442	3.5937	3.6461	3.2941	3.6381	3.734
1009_at	9.484	11.446	9.409	10.838	10.784	6.7981	4.3342	12.216	12.252	10.139	12.389	11.788	11.216	10.766	7.8758	10.905	11.59	9.8448	9.5632	10.063	11.673	10.955	11.819	10.715	8.0828	4.1637	6.4307	4.6188	4.2018	4.3296	9.4747	4.0414	3.9698	4.1265	3.9487	7.2947	7.2228	8.2737	4.0858	5.4778	4.9918	3.9966	3.7918	4.0775	7.0151	4.2309	3.9705	8.2295	4.4391	4.1073
10205_at	3.8723	3.9668	3.8879	3.9515	4.0056	4.1736	4.2338	3.7102	4.0138	4.0261	3.8113	4.0165	4.4278	3.9752	3.9495	3.907	3.994	4.1273	3.9586	4.0543	4.0253	4.3206	4.1964	3.952	3.9586	8.3205	6.3919	6.1864	7.8223	6.3661	5.6311	8.6451	7.877	5.7674	6.8143	6.4925	7.3542	7.1608	7.8068	7.3458	8.1307	7.9934	7.2459	5.8796	6.276	9.1203	6.4025	4.3747	7.8388	7.4756
